MATRIX_NAME	KINASE	GENE_NAME	TYPE	SUBTYPE	FAMILY	UNIPROT_ID	UNIPROT_ENTRY_NAME	EMBL_ID	EMBL	ENSEMBL_GENE_ID	ENSEMBL_TRS_ID	ENSEMBL_PRO_ID	P_ENTREZGENEID	P_GI	PIR	REFSEQ_NT_ID	P_REFSEQ_AC	PDB_ID	BIOGRID_ID	DIP_ID	STRING_ID	CHEMBL_ID	DRUGBANK_ID	GUIDETOPHARMACOLOGY_ID	BIOMUTA_ID	DMDM_ID	CPTAC_ID	PROTEOMICSDB_ID	DNASU_ID	REACTOME_ID	CHITARS_ID	GENEWIKI_ID	GENOMERNAI_ID	HGNC_ID	KL_LIBRARY	DUAL_SPECIFICITY
AAK1	AAK1	AAK1	ser_thr	STK	Other	Q2M2I8	AAK1_HUMAN	AB028971	BAA83000.2	ENSG00000115977	ENST00000606389;ENST00000409085;ENST00000409068;ENST00000623317;ENST00000489327;ENST00000406297;ENST00000624900;ENST00000470281;ENST00000495836;ENST00000495239;ENST00000471775;ENST00000461002;ENST00000492192	ENSP00000385181	22848	85567437	nan	NM_014911.3	NP_055726.3	4WSQ	116520	nan	9606.ENSP00000386456	CHEMBL3830	DB12010	1921	AAK1	300669613	nan	61355	22848	R-HSA-8856825	AAK1	AAK1	22848	HGNC:19679	ser_thr	FALSE
ACVR2A	ACVR2A	ACVR2A	ser_thr	STK	TKL	P27037	AVR2A_HUMAN	X63128	CAA44839.1	ENSG00000121989	ENST00000487959;ENST00000535787;ENST00000462659;ENST00000404590;ENST00000465329;ENST00000241416;ENST00000495775	ENSP00000241416	92	46854719	JQ1486	NM_001278579.1	NP_001265508.1	3Q4T	106607	DIP-520N	9606.ENSP00000241416	CHEMBL5616	DB12118	1791	ACVR2A	114722	nan	5369	92	R-HSA-1181150	ACVR2A	ACVR2A	92	HGNC:173	ser_thr	FALSE
ACVR2B	ACVR2B	ACVR2B	ser_thr	STK	TKL	Q13705	AVR2B_HUMAN	X77533	CAA54671.1	ENSG00000114739	ENST00000352511;ENST00000465020;ENST00000461232	ENSP00000340361	93	392311884	I37134	NM_001106.3	NP_001097.2	2H62	106608	nan	9606.ENSP00000340361	CHEMBL5466	nan	1792	ACVR2B	97535735	nan	59666	93	R-HSA-1181150	ACVR2B	ACVR2B	93	HGNC:174	ser_thr	FALSE
AKT1	AKT1	AKT1	ser_thr	STK	AGC	P31749	AKT1_HUMAN	M63167	AAA36539.1	ENSG00000142208	ENST00000554581;ENST00000407796;ENST00000649815;ENST00000349310;ENST00000610370;ENST00000553506;ENST00000557552;ENST00000402615;ENST00000555528;ENST00000555458;ENST00000554192;ENST00000544168;ENST00000554585;ENST00000554848;ENST00000554826;ENST00000556836;ENST00000555380;ENST00000557494;ENST00000553797	ENSP00000270202	207	306991943	A39360	NM_001014431.1	NP_001014431.1	1H10	106710	DIP-24269N	9606.ENSP00000451828	CHEMBL4282	DB07585	1479	AKT1	60391226	CPTAC-783	54800	207	R-HSA-111447	AKT1	AKT1	207	HGNC:391	ser_thr	FALSE
AKT2	AKT2	AKT2	ser_thr	STK	AGC	P31751	AKT2_HUMAN	M77198	AAA36585.1	ENSG00000105221	ENST00000392038;ENST00000483166;ENST00000476266;ENST00000489375;ENST00000391844;ENST00000496089;ENST00000476247;ENST00000584288;ENST00000311278;ENST00000497948;ENST00000579047;ENST00000578615;ENST00000391845;ENST00000486647;ENST00000578282;ENST00000579345;ENST00000480878;ENST00000580878;ENST00000578310;ENST00000601166;ENST00000492463;ENST00000537834;ENST00000491778;ENST00000578975;ENST00000487537;ENST00000441941;ENST00000672879;ENST00000486368;ENST00000596634;ENST00000452077;ENST00000392037;ENST00000416362;ENST00000578123;ENST00000672890;ENST00000423127;ENST00000358335;ENST00000456441;ENST00000583859;ENST00000580747;ENST00000416994;ENST00000427375;ENST00000498350;ENST00000581582;ENST00000424901	ENSP00000309428	208	768007326	A46288	NM_001330511.1	NP_001317440.1	1GZK	106711	DIP-32583N	9606.ENSP00000375892	CHEMBL2431	DB08073	1480	AKT2	1170703	CPTAC-788	54801	208	R-HSA-111447	AKT2	AKT2	208	HGNC:392	ser_thr	FALSE
AKT3	AKT3	AKT3	ser_thr	STK	AGC	Q9Y243	AKT3_HUMAN	AF124141	AAD29089.1	ENSG00000275199;ENSG00000117020	ENST00000613395;ENST00000619536;ENST00000621586;ENST00000629115;ENST00000629924;ENST00000627932;ENST00000627105;ENST00000336199;ENST00000366540;ENST00000673466;ENST00000679831;ENST00000680118;ENST00000672460;ENST00000681055;ENST00000672578;ENST00000366539;ENST00000681794;ENST00000680056;ENST00000263826;ENST00000492957;ENST00000552631;ENST00000672238;ENST00000672442;ENST00000672679;ENST00000463991;ENST00000491219;ENST00000673400;ENST00000490018;ENST00000550388	ENSP00000263826	10000	17529663	A59380	NM_001206729.1	NP_001193658.1	2X18	115318	DIP-32584N	9606.ENSP00000263826	CHEMBL4816	nan	2286	AKT3	12643943	nan	85641	10000	R-HSA-111447	AKT3	AKT3	10000	HGNC:393	ser_thr	FALSE
ALK2	ALK2	ACVR1	ser_thr	STK	TKL	Q04771	ACVR1_HUMAN	L02911	AAA36614.1	ENSG00000115170	ENST00000263640;ENST00000434821;ENST00000409283;ENST00000672582;ENST00000673324;ENST00000424669;ENST00000539637;ENST00000410057;ENST00000487456;ENST00000412025;ENST00000440523;ENST00000413751	ENSP00000263640	90	380765171	A45992	NM_001105.4	NP_001096.1	3H9R	106605	DIP-212N	9606.ENSP00000263640	CHEMBL5903	DB00171	1785	ACVR1	462447	nan	58283	90	nan	ACVR1	ACVR1	90	HGNC:171	ser_thr	FALSE
ALK4	ALK4	ACVR1B	ser_thr	STK	TKL	P36896	ACV1B_HUMAN	Z22536	CAA80258.1	ENSG00000135503	ENST00000257963;ENST00000541224;ENST00000426655;ENST00000536420;ENST00000415850;ENST00000542485;ENST00000563121	ENSP00000257963	91	402189	I38859	NM_004302.4	NP_004293.1	nan	106606	DIP-427N	9606.ENSP00000442656	CHEMBL5310	DB00171	1787	ACVR1B	547775	nan	55229	91	R-HSA-1181150	ACVR1B	ACVR1B	91	HGNC:172	ser_thr	FALSE
ALPHAK3	AlphaK3	ALPK1	ser_thr	STK	Alpha	Q96QP1	ALPK1_HUMAN	AY044164	AAK94675.1	ENSG00000073331	ENST00000514594;ENST00000504176;ENST00000505176;ENST00000650871;ENST00000177648;ENST00000502366;ENST00000509722;ENST00000505127;ENST00000504488;ENST00000509688;ENST00000426472;ENST00000515330;ENST00000515106;ENST00000458497;ENST00000504745;ENST00000505912;ENST00000509209;ENST00000508589;ENST00000512847	ENSP00000177648	80216	15341178	nan	NM_001102406.1	NP_001095876.1	5Z2C	123183	nan	9606.ENSP00000398048	nan	nan	nan	ALPK1	308153632	nan	25531	80216	R-HSA-9645460	ALPK1	ALPK1	80216	HGNC:20917	ser_thr	FALSE
AMPKA1	AMPKA1	PRKAA1	ser_thr	STK	CAMK	Q13131	AAPK1_HUMAN	AC008810	AAH48980.1	ENSG00000132356	ENST00000397128;ENST00000354209;ENST00000513152;ENST00000505783;ENST00000506652;ENST00000509874;ENST00000296800;ENST00000511248;ENST00000397006	ENSP00000346148	5562	254763436	G01743	NM_006251.5	NP_006242.5	4RED	111549	DIP-39973N	9606.ENSP00000346148	CHEMBL4045	DB00945	nan	PRKAA1	254763436	nan	59180	5562	R-HSA-1632852	PRKAA1	"Protein_kinase,_AMP-activated,_alpha_1"	5562	HGNC:9376	ser_thr	FALSE
AMPKA2	AMPKA2	PRKAA2	ser_thr	STK	CAMK	P54646	AAPK2_HUMAN	U06454	AAA64745.1	ENSG00000162409	ENST00000371244;ENST00000610361	ENSP00000360290	5563	568786474	S51025	NM_006252.3	NP_006243.2	2H6D	111550	DIP-39796N	9606.ENSP00000360290	CHEMBL2116	DB00945	nan	PRKAA2	20178276	nan	56689	5563	R-HSA-1445148	PRKAA2	PRKAA2	5563	HGNC:9377	ser_thr	FALSE
ANKRD3	ANKRD3	RIPK4	ser_thr	STK	TKL	P57078	RIPK4_HUMAN	AB047783	BAB56136.1	ENSG00000183421	ENST00000352483;ENST00000332512	ENSP00000332454	nan	7768736	nan	nan	nan	nan	nan	DIP-40722N	9606.ENSP00000332454	CHEMBL6083	DB12010	nan	RIPK4	10719883	nan	56989	nan	nan	RIPK4	nan	nan	HGNC:496	ser_thr	FALSE
ASK1	ASK1	MAP3K5	ser_thr	STK	STE	Q99683	M3K5_HUMAN	U67156	AAC50894.1	ENSG00000197442	ENST00000359015;ENST00000463140	ENSP00000351908	4217	66391167	nan	NM_005923.3	NP_005914.1	2CLQ	110381	DIP-29516N	9606.ENSP00000351908	CHEMBL5285	nan	2080	MAP3K5	6685617	CPTAC-849	1258	4217	R-HSA-2559580	MAP3K5	ASK1	4217	HGNC:6857	ser_thr	FALSE
ATM	ATM	ATM	ser_thr	STK	PIKK	Q13315	ATM_HUMAN	U33841	AAC50289.1	ENSG00000149311	ENST00000278616;ENST00000675843;ENST00000527805;ENST00000675595;ENST00000532931;ENST00000530958;ENST00000452508;ENST00000639953;ENST00000640388;ENST00000639240;ENST00000526567;ENST00000601453;ENST00000638443;ENST00000525012;ENST00000533526;ENST00000419286;ENST00000533733;ENST00000524792;ENST00000531525;ENST00000531957;ENST00000533690;ENST00000534625;ENST00000529588;ENST00000532765;ENST00000525537;ENST00000527389;ENST00000533979;ENST00000525056;ENST00000525178;ENST00000527181;ENST00000638786	ENSP00000278616	472	578822207	A43100	NM_000051.3	NP_000042.3	5NP0	106962	DIP-182N	9606.ENSP00000278616	CHEMBL3797	DB00201	1934	ATM	317373479	CPTAC-3210	59303	472	R-HSA-2559586	ATM	Ataxia_telangiectasia_mutated	472	HGNC:795	ser_thr	FALSE
ATR	ATR	ATR	ser_thr	STK	PIKK	Q13535	ATR_HUMAN	Y09077	CAA70298.1	ENSG00000175054	ENST00000658083;ENST00000656114;ENST00000656590;ENST00000350721;ENST00000515810;ENST00000513291;ENST00000654170;ENST00000653893;ENST00000666447;ENST00000666943;ENST00000665483;ENST00000661310;ENST00000511016;ENST00000653868;ENST00000514393;ENST00000507620;ENST00000656582;ENST00000515149;ENST00000659195;ENST00000657914;ENST00000515863;ENST00000507148	ENSP00000343741	545	1034633969	nan	NM_001184.3	NP_001175.2	5YZ0	107027	DIP-35308N	9606.ENSP00000343741	CHEMBL5024	nan	1935	ATR	62286460	CPTAC-3214	59521	545	R-HSA-1221632	ATR	Ataxia_telangiectasia_and_Rad3_related	545	HGNC:882	ser_thr	FALSE
